Contract ID;Created Date;Type;Insurance Category;Yearly Management Fee;Sales Fee;Customer ID
1294;21.11.17;New Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;23,89;0;2165
1295;09.04.17;Existing Contract;Statutory health insurance;;0;4858
1296;13.02.17;Existing Contract;Private pension insurance;10,8;0;2875
1297;02.06.17;Existing Contract;Personal liability insurance;6,67;0;2898
1298;06.07.17;Existing Contract;Personal liability insurance & heating oil insurance and water pollution insurance;7,67;0;3047
1299;31.03.17;Existing Contract;Daily hospital allowance insurance;0,5;0;4950
1300;18.04.18;Existing Contract;Supplementary dental insurance;5,72;0;2136
1301;12.05.17;Existing Contract;Private health insurance & compulsory long-term nursing care insurance;107,52;0;3283
1302;12.04.17;Existing Contract;Statutory health insurance;;0;3844
1303;29.03.17;Existing Contract;Basic pension insurance;0;0;5335
1304;19.01.17;Existing Contract;Statutory health insurance;;85;4715
1305;13.06.17;Existing Contract;Term life insurance;;0;3420
1306;22.07.17;Existing Contract;Personal liability insurance;20,96;0;981
1307;07.09.17;Existing Contract;Occupational disability insurance;;0;5280
1308;28.01.17;Existing Contract;Statutory health insurance;;0;1620
1309;02.01.17;Existing Contract;Statutory health insurance;;0;4943
1310;23.10.17;Existing Contract;Occupational disability insurance & private pension insurance;46,91;0;3873
1311;08.05.17;Existing Contract;Surety insurance/bonding insurance;;0;3044
1312;02.05.17;Existing Contract;Travel health insurance;0;0;1978
1313;12.06.17;Existing Contract;Legal protection insurance;51,58;0;1625
1314;13.03.17;Existing Contract;Private health insurance;89,59;0;5335
1315;21.02.17;Existing Contract;Statutory health insurance;;0;717
1316;03.07.17;Existing Contract;ADAC (automobile) membership;;0;1197
1317;31.05.17;Existing Contract;Supplementary dental insurance;2,45;0;828
1318;30.03.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;4612
1319;02.06.17;Existing Contract;Compulsory long-term nursing care insurance;6,09;0;1270
1320;07.03.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;5341
1321;21.02.17;Existing Contract;Private health insurance, vested pension entitlement insurance, daily hospital allowance insurance, supplementary long-term nursing care insurance (KV) and compulsory long-term nursing care insurance;7,68;0;4145
1322;06.03.17;Existing Contract;Occupational disability insurance;0;0;2507
1323;03.05.17;Existing Contract;Household contents insurance;10,26;0;1224
1324;16.03.17;New Contract;Personal liability insurance;11,12;0;3122
1325;23.02.17;Existing Contract;Occupational disability insurance;11,02;0;2613
1326;21.02.17;Existing Contract;Personal liability insurance;10;0;3375
1327;08.02.17;Existing Contract;Household contents insurance;10,73;0;1045
1328;12.05.17;Existing Contract;Accident insurance;;0;3389
1329;13.01.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance (with insurance cover certificate);0;0;4025
1330;15.09.17;Existing Contract;Private health insurance;0;0;3143
1331;08.05.17;Existing Contract;Supplementary dental insurance;0,92;0;4218
1332;22.02.17;Existing Contract;Foreign travel health insurance;0,13;0;448
1333;20.10.17;Existing Contract;ADAC (automobile association) Plus membership;;0;1764
1334;15.05.17;Existing Contract;Motor vehicle legal protection insurance;17,54;0;3380
1335;23.05.17;Existing Contract;Personal liability insurance;;0;4363
1336;02.03.17;Existing Contract;Household contents insurance;0;0;4668
1337;28.02.17;Existing Contract;Personal liability insurance;9,92;0;2162
1338;17.01.17;Existing Contract;Personal liability insurance;16,55;0;2955
1339;06.07.17;Existing Contract;Travel health insurance;;0;5162
1340;29.03.17;Existing Contract;Daily sickness benefits insurance & daily hospital allowance insurance;2,36;0;1408
1341;15.09.17;Existing Contract;Trailer insurance;1,58;0;1629
1342;14.06.17;New Contract;Personal liability insurance;15,24;0;3107
1343;02.05.18;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;29,55;0;1382
1344;20.03.17;Existing Contract;Statutory health insurance;;0;4288
1345;27.04.17;Existing Contract;Statutory health insurance;;0;1634
1346;13.04.17;Existing Contract;Autocycle and moped insurance;0;0;2129
1347;28.05.17;Existing Contract;Statutory health insurance;;0;2845
1348;04.12.17;New Contract;Direct insurance;45,54;2671,65;3482
1349;03.07.17;Existing Contract;ADAC (automobile association) Plus membership;;0;3461
1350;20.02.17;Existing Contract;Term life insurance;0;0;1586
1351;24.05.17;Existing Contract;Statutory health insurance;;0;3596
1352;21.02.17;Existing Contract;Personal liability insurance;10,01;0;730
1353;26.05.17;Existing Contract;Supplementary insurance for visual aids;7,69;0;4590
1354;11.05.17;Existing Contract;Travel health insurance;0,17;0;5033
1355;08.05.17;Existing Contract;Legal protection insurance;44,21;0;3019
1356;29.05.17;Existing Contract;Statutory health insurance;;0;1625
1357;26.05.17;Existing Contract;Homeowner & landowner liability insurance;8,27;0;1811
1358;22.01.18;Existing Contract;Glass insurance;9,85;0;3293
1359;20.02.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;;0;2482
1360;15.05.17;Existing Contract;Riester pension insurance scheme;0;0;530
1361;14.06.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance (with insurance cover certificate);;0;2711
1362;26.02.17;Existing Contract;Statutory health insurance;;0;3666
1363;29.01.18;Existing Contract;Statutory health insurance;;0;1326
1364;06.02.17;Existing Contract;Household contents insurance;;0;1916
1365;29.03.17;Existing Contract;Supplementary hospitalisation insurance, supplementary outpatient health insurance & compulsory long-term nursing care insurance;;0;4320
1366;09.06.17;Existing Contract;Occupational disability insurance;1,24;0;1808
1367;19.04.17;Existing Contract;Motorcycle insurance;;0;108
1368;01.12.17;Existing Contract;Personal liability insurance;;0;1668
1369;24.03.17;Existing Contract;Statutory health insurance;;0;2899
1370;31.03.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;0;0;3146
1371;18.07.17;Existing Contract;Private health insurance & compulsory long-term nursing care insurance;50,87;0;2186
1372;02.04.17;Existing Contract;Statutory health insurance;;0;3139
1373;25.01.17;Existing Contract;Supplementary dental insurance;21,75;0;1080
1374;23.02.17;Existing Contract;Legal protection insurance;51,52;0;794
1375;26.05.17;Existing Contract;Accident insurance;70,03;0;4687
1376;31.01.17;Existing Contract;Personal liability insurance;15,15;0;4337
1377;09.02.17;Existing Contract;Statutory health insurance;;0;1900
1378;23.05.17;Existing Contract;Homeowner’s building insurance;;0;2636
1379;11.03.17;Existing Contract;Statutory health insurance;;0;1117
1380;21.06.17;Existing Contract;Legal protection insurance;35,21;0;38
1381;08.06.17;Existing Contract;Term life insurance;4,66;0;3688
1382;21.02.17;Existing Contract;Household contents insurance;0;0;4387
1383;16.03.18;Existing Contract;Riester pension insurance scheme;2,4;0;785
1384;11.02.17;Existing Contract;Statutory health insurance;;0;754
1385;26.03.18;Existing Contract;Household contents insurance;5,86;0;4243
1386;24.01.17;Existing Contract;Personal liability insurance;;0;1761
1387;18.05.17;Existing Contract;Statutory health insurance;;0;2636
1388;16.03.17;Existing Contract;Autocycle and moped insurance;;0;4482
1389;12.05.17;Existing Contract;Personal liability insurance;0;0;19
1390;17.05.17;Existing Contract;Riester pension insurance scheme;0;0;583
1391;12.05.17;New Contract;Occupational disability insurance;9,49;2188,8;2676
1392;22.06.17;Existing Contract;Household contents insurance;;0;1723
1393;17.12.17;New Contract;Legal protection insurance;43,02;0;1898
1394;12.05.17;Existing Contract;Statutory health insurance;;0;5065
1395;29.05.17;Existing Contract;Private health insurance;49,22;0;2962
1396;31.07.17;Existing Contract;Legal protection insurance;;0;4705
1397;08.02.17;Existing Contract;Household contents insurance;;0;375
1398;27.02.17;Existing Contract;Statutory health insurance;;0;4839
1399;21.02.18;New Contract;Supplementary dental insurance;0;0;1485
1400;21.04.17;New Contract;Household contents insurance;10,51;0;1683
1401;05.07.17;Existing Contract;Motor vehicle legal protection insurance;;0;4101
1402;15.03.17;Existing Contract;Compulsory long-term nursing care insurance;2,35;0;270
1403;19.06.17;New Contract;Household contents insurance;11,56;0;5147
1404;29.12.17;Existing Contract;Direct insurance;;0;1721
1405;18.07.17;Existing Contract;Homeowner & landowner liability insurance;3,93;0;1103
1406;31.03.17;Existing Contract;Supplementary dental insurance;0;0;4477
1407;23.06.17;Existing Contract;Legal protection insurance;38,1;0;1784
1408;28.02.17;Existing Contract;Statutory health insurance;;0;1448
1409;23.04.18;New Contract;Legal protection insurance;46,24;0;4515
1410;28.04.17;Existing Contract;Statutory health insurance;;0;972
1411;06.04.17;Existing Contract;Statutory health insurance;;0;4536
1412;14.12.17;Existing Contract;Legal protection insurance;15,34;0;4979
1413;14.06.17;Existing Contract;Household contents insurance;;0;2038
1414;30.08.17;Existing Contract;ADAC (automobile) membership;;0;2378
1415;22.05.17;Existing Contract;Accident insurance;0;0;2389
1416;07.07.17;Existing Contract;Household contents insurance;14,47;0;2364
1417;07.04.17;Existing Contract;Motorcycle insurance;;0;5185
1418;20.03.18;Existing Contract;Glass insurance;;0;1283
1419;28.02.17;Existing Contract;Household contents insurance;;0;938
1420;30.05.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;0;0;999
1421;25.01.17;New Contract;Legal protection insurance;45,17;0;3449
1422;16.03.17;Existing Contract;Personal liability insurance;12,06;0;713
1423;03.05.17;Existing Contract;Legal protection insurance;257,75;0;5073
1424;20.01.17;Existing Contract;Supplementary dental insurance;0;0;2838
1425;09.03.17;Existing Contract;Statutory health insurance;;0;3507
1426;26.05.17;Existing Contract;Accident insurance;5,68;0;2435
1427;07.02.18;Existing Contract;Motor vehicle liability insurance;;0;5169
1428;07.06.17;Existing Contract;Pet owner liability insurance;;0;618
1429;30.05.17;Existing Contract;Statutory health insurance;;0;2926
1430;11.09.17;Existing Contract;Personal liability insurance;;0;1277
1431;29.06.17;Existing Contract;ADAC (automobile association) Plus membership;;0;1485
1432;28.06.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;38,62;0;1851
1433;21.04.17;Existing Contract;Legal protection insurance;26,13;0;4299
1434;19.07.17;New Contract;Travel health insurance;0;0;4833
1435;10.04.17;Existing Contract;Motor vehicle liability insurance;31,03;0;3721
1436;17.01.17;Existing Contract;Statutory health insurance;;0;956
1437;11.05.17;Existing Contract;Riester pension insurance scheme;0;0;2404
1438;22.03.17;Existing Contract;Legal protection insurance;37,5;0;2188
1439;23.04.18;New Contract;Occupational disability insurance;13,96;1779,69;1995
1440;08.03.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;31,44;0;3500
1441;16.05.17;Existing Contract;Direct insurance;12,96;0;5087
1442;10.05.17;Existing Contract;Statutory health insurance;;0;778
1443;27.02.17;Existing Contract;Household contents insurance;15,66;0;5062
1444;02.10.17;Existing Contract;Supplementary dental insurance;4,52;0;2389
1445;27.02.17;Existing Contract;Personal liability insurance;7,29;0;2639
1446;07.05.17;Existing Contract;Statutory health insurance;;0;1735
1447;15.05.17;Existing Contract;Statutory health insurance;;0;1385
1448;09.05.17;Existing Contract;Accident insurance;2,52;0;3477
1449;08.05.17;Existing Contract;Personal liability insurance;7,96;0;5161
1450;24.05.17;Existing Contract;Direct insurance;0;0;1089
1451;29.08.17;Existing Contract;ADAC (automobile) membership;;0;5060
1452;04.08.17;Existing Contract;Legal protection insurance;56,12;0;190
1453;06.02.17;Existing Contract;Endowment life insurance;0;0;208
1454;20.03.17;Existing Contract;Statutory health insurance;;0;3941
1455;18.05.17;New Contract;Direct insurance;36,96;1774;893
1456;14.06.17;Existing Contract;Legal protection insurance;46,22;0;2019
1457;11.02.17;Existing Contract;Statutory health insurance;;0;4906
1458;29.11.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;17,13;0;1602
1459;07.07.17;Existing Contract;Personal liability insurance;8,64;0;4505
1460;09.05.17;Existing Contract;Accident insurance;30,32;0;1884
1461;27.03.17;Existing Contract;Motor vehicle cover certificate of insurance;6,01;0;4232
1462;29.08.17;Existing Contract;Personal liability insurance;;0;270
1463;12.09.17;Existing Contract;Motorhome insurance;17,89;0;832
1464;12.03.17;Existing Contract;Statutory health insurance;;0;4105
1465;10.05.17;Existing Contract;Household contents insurance;50,79;0;2260
1466;01.03.17;Existing Contract;Travel health insurance;;0;4343
1467;27.01.17;Existing Contract;Pet health insurance;61,93;0;3088
1468;12.09.17;Existing Contract;Accident insurance;120,44;0;1730
1469;28.08.17;Existing Contract;Household contents insurance;;0;5158
1470;27.06.17;Existing Contract;Personal liability insurance;0;0;476
1471;03.07.17;Existing Contract;ADAC (automobile) membership;;0;4767
1472;20.03.17;Existing Contract;Accident insurance;31,06;0;3742
1473;18.07.17;Existing Contract;Homeowner’s building insurance;43,64;0;1103
1474;15.02.17;Existing Contract;Personal liability insurance;24,36;0;4462
1475;27.06.17;Existing Contract;ADAC (automobile association) Plus membership;;0;3128
1476;20.04.17;Existing Contract;Household contents insurance;0;0;282
1477;18.10.17;Existing Contract;Household contents insurance & glass insurance;36,85;0;3275
1478;30.05.17;Existing Contract;Supplementary dental insurance;9,36;0;2659
1479;14.06.17;Existing Contract;Riester pension insurance scheme;;0;4974
1480;27.06.17;Existing Contract;Legal protection insurance;46;0;3888
1481;17.04.17;Existing Contract;Statutory health insurance;;0;1044
1482;27.09.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;49,82;0;164
1483;07.02.17;Existing Contract;Homeowner’s building insurance;0;0;4920
1484;06.07.17;Existing Contract;Foreign travel health insurance;0,09;0;3229
1485;22.02.18;New Contract;Personal liability insurance;16,77;0;3952
1486;22.06.17;Existing Contract;Household contents insurance;;0;1511
1487;21.11.17;Existing Contract;Travel health insurance;0,48;0;3228
1488;30.06.17;Existing Contract;Supplementary alternative practitioner insurance and supplementary eyewear insurance;7,22;0;5079
1489;13.01.17;Existing Contract;Statutory health insurance;;0;2410
1490;07.05.17;Existing Contract;Statutory health insurance;;0;750
1491;19.04.17;Existing Contract;Legal protection insurance;38,5;0;1009
1492;29.04.17;Existing Contract;Statutory health insurance;;0;5193
1493;06.03.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;4672
1494;14.06.17;Existing Contract;Occupational disability insurance & endowment life insurance;3,77;0;2767
1495;02.06.17;Existing Contract;Supplementary long-term nursing care insurance (KV);2,43;0;1270
1496;17.03.17;Existing Contract;Occupational disability insurance;20,16;0;913
1497;14.02.17;Existing Contract;Legal protection insurance;28,12;0;4933
1498;17.07.17;Existing Contract;Legal protection insurance;19,56;0;1426
1499;24.08.17;Existing Contract;Accident insurance;;0;2995
1500;13.03.17;Existing Contract;Motorcycle insurance;0;0;4327
1501;26.04.17;Existing Contract;Statutory health insurance;;0;146
1502;27.09.17;Existing Contract;Supplementary dental insurance;6,8;0;4823
1503;27.03.18;New Contract;Household contents insurance;21,25;0;4695
1504;18.10.17;Existing Contract;Private health insurance;69,37;0;1833
1505;17.03.17;Existing Contract;Statutory health insurance;;0;4030
1506;14.06.17;New Contract;Legal protection insurance;52,06;0;2918
1507;29.05.17;Existing Contract;Household contents insurance;;0;3596
1508;13.11.17;Existing Contract;Trailer insurance;0,74;0;408
1509;26.10.17;Existing Contract;Mobile phone insurance;0;0;2926
1510;13.03.17;Existing Contract;Motorcycle insurance;0;0;4327
1511;12.01.17;Existing Contract;Statutory health insurance;;0;5099
1512;26.04.17;Existing Contract;Statutory health insurance;;0;4574
1513;02.06.17;Existing Contract;Horse owner liability insurance;18,47;0;3435
1514;24.06.17;Existing Contract;Occupational disability insurance;10,27;0;2629
1515;30.01.17;Existing Contract;Accident insurance;0;0;4897
1516;28.04.17;Existing Contract;Personal liability insurance;13,61;0;2947
1517;07.06.17;Existing Contract;Personal liability insurance;21,51;0;3356
1518;16.06.17;Existing Contract;Accident insurance;;0;2028
1519;21.04.17;Existing Contract;Travel cancellation insurance;31,09;0;5037
1520;21.02.17;Existing Contract;Personal liability insurance;0;0;4229
1521;15.03.17;Existing Contract;Supplementary hospitalisation insurance, supplementary dental insurance & supplementary insurance for visual aids;8,91;0;1146
1522;03.04.17;Existing Contract;Accident insurance;25,31;0;1998
1523;17.05.17;Existing Contract;Statutory health insurance;;0;1499
1524;10.05.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;0;0;3950
1525;22.03.17;Existing Contract;Private health insurance & compulsory long-term nursing care insurance;119,52;0;3200
1526;03.05.17;Existing Contract;Dog owner liability insurance;9,69;0;2419
1527;15.05.17;New Contract;Legal protection insurance;45,16;0;5154
1528;07.06.17;Existing Contract;Daily sickness benefits insurance, supplementary dental insurance & supplementary long-term nursing care insurance (KV);22,79;0;4905
1529;20.07.17;Existing Contract;Legal protection insurance;32,17;0;3214
1530;22.02.17;Existing Contract;Statutory health insurance;;0;3692
1531;03.10.17;Existing Contract;Motor vehicle liability insurance;;0;828
1532;25.04.17;Existing Contract;Statutory health insurance;;0;3415
1533;11.09.17;Existing Contract;Homeowner’s building insurance;48,65;0;4878
1534;20.04.17;Existing Contract;Statutory health insurance;;0;2302
1535;25.07.17;Existing Contract;Personal liability insurance;;0;340
1536;06.06.17;Existing Contract;Term life insurance;;0;2206
1537;20.03.17;Existing Contract;Personal liability insurance;;0;2881
1538;23.08.17;Existing Contract;Legal protection insurance;;0;3462
1539;08.07.17;Existing Contract;Term life insurance;3,13;0;1344
1540;21.06.17;Existing Contract;Legal protection insurance;34,63;0;218
1541;22.05.17;Existing Contract;Homeowner’s building insurance;53,73;0;805
1542;16.05.17;Existing Contract;Statutory health insurance;;0;3779
1543;04.03.17;Existing Contract;Statutory health insurance;;0;1726
1544;19.09.17;Existing Contract;Personal liability insurance;15,75;0;2141
1545;04.05.17;Existing Contract;Trailer insurance;1,04;0;2494
1546;27.04.17;Existing Contract;Household contents insurance;7,82;0;3161
1547;21.03.17;Existing Contract;Household contents insurance;35,84;0;4092
1548;24.04.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance (with insurance cover certificate);0;0;3815
1549;15.04.17;Existing Contract;Statutory health insurance;;0;261
1550;28.03.17;Existing Contract;Riester pension insurance scheme;38,98;0;3028
1551;13.11.17;Existing Contract;Travel health insurance;;0;64
1552;03.04.17;Existing Contract;Motor vehicle liability insurance;20,55;0;3821
1553;06.03.17;Existing Contract;Homeowner’s building insurance;;0;3130
1554;06.07.17;New Contract;Personal liability insurance;9,21;0;3768
1555;27.06.17;Existing Contract;Riester pension insurance scheme;24,36;0;2923
1556;06.03.17;Existing Contract;Household contents insurance;;0;3464
1557;31.01.18;New Contract;Occupational disability insurance;30,83;1843,35;3301
1558;16.06.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;9,38;0;1284
1559;22.02.17;Existing Contract;Accident insurance;0;0;1440
1560;23.01.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;0;0;928
1561;10.05.17;Existing Contract;Legal protection insurance;38,2;0;2351
1562;12.04.17;Existing Contract;Personal liability insurance, household contents insurance & accident insurance;56,85;0;4117
1563;21.05.17;Existing Contract;Statutory health insurance;;0;2554
1564;20.03.18;Existing Contract;Private pension insurance;;0;3199
1565;04.04.17;Existing Contract;Travel health insurance;0,11;0;3111
1566;27.04.17;Existing Contract;Personal liability insurance;9,56;0;2807
1567;02.09.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;46,49;0;1548
1568;14.07.17;Existing Contract;Statutory health insurance;;85;2147
1569;14.06.17;Existing Contract;Legal protection insurance;51,75;0;2057
1570;07.05.17;New Contract;Building owner's liability insurance;29,87;0;2504
1571;16.05.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance (with insurance cover certificate);42,32;0;2873
1572;29.09.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;4063
1573;16.03.17;Existing Contract;Legal protection insurance;42,12;0;1807
1574;09.05.17;New Contract;Household contents insurance, natural disasters insurance & glass insurance;47,12;0;4636
1575;10.03.17;Existing Contract;Personal liability insurance;15,35;0;2467
1576;26.04.17;Existing Contract;Travel health insurance;0,1;0;2124
1577;21.04.17;Existing Contract;Personal liability insurance;0;0;5097
1578;15.05.17;Existing Contract;Personal liability insurance;15,66;0;5375
1579;24.08.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance (with insurance cover certificate);;0;118
1580;06.04.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;25,33;0;3822
1581;29.12.17;Existing Contract;Funeral insurance;4,13;0;1834
1582;04.07.17;Existing Contract;Supplementary hospitalisation insurance;;0;3886
1583;10.03.17;Existing Contract;Private health insurance;37,18;0;5140
1584;27.06.17;Existing Contract;Household contents insurance;76,06;0;2157
1585;13.01.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;0;0;4604
1586;22.03.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;;0;4747
1587;25.04.17;Existing Contract;Statutory health insurance;;0;2848
1588;26.02.17;Existing Contract;Statutory health insurance;;0;3944
1589;12.08.17;Existing Contract;Supplementary dental insurance;;0;1143
1590;20.03.17;Existing Contract;Statutory health insurance;;0;3262
1591;24.05.17;Existing Contract;Personal liability insurance;8,5;0;5107
1592;10.04.17;Existing Contract;Legal protection insurance;53,65;0;2052
1593;15.03.18;Existing Contract;Endowment life insurance;;0;4414
1594;07.02.17;Existing Contract;Household contents insurance;12,37;0;4442
1595;06.04.17;Existing Contract;Personal liability insurance;9,08;0;102
1596;27.04.17;Existing Contract;Statutory health insurance;;0;5342
1597;26.05.17;Existing Contract;Legal protection insurance;27,87;0;469
1598;16.06.17;Existing Contract;Legal protection insurance;33,59;0;1284
1599;29.07.17;Existing Contract;Personal liability insurance;13,71;0;3469
1600;06.02.17;Existing Contract;Statutory health insurance;;0;36
1601;26.04.17;Existing Contract;Statutory health insurance;;0;1366
1602;05.04.17;Existing Contract;Supplementary long-term nursing care insurance (KV);7,2;0;2275
1603;05.02.18;Existing Contract;Direct insurance;;0;2541
1604;26.08.17;Existing Contract;Accident insurance;31,25;0;3098
1605;31.05.17;Existing Contract;Personal liability insurance;8,64;0;3224
1606;04.04.17;Existing Contract;Travel health insurance;0,16;0;4695
1607;02.03.17;Existing Contract;Personal liability insurance;0;0;1869
1608;20.04.17;Existing Contract;Pet owner liability insurance;0;0;1627
1609;31.01.17;Existing Contract;Statutory health insurance;;0;2048
1610;27.03.17;Existing Contract;Other insurance;0;0;4380
1611;26.04.17;Existing Contract;Legal protection insurance;34,91;0;2756
1612;06.03.17;Existing Contract;Statutory health insurance;;0;2350
1613;27.04.17;Existing Contract;Private pension insurance;12;0;829
1614;26.04.17;Existing Contract;Statutory health insurance;;0;4292
1615;14.03.17;Existing Contract;Statutory health insurance;;0;2315
1616;10.02.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;0;0;1766
1617;07.06.17;Existing Contract;Supplementary dental insurance;3,48;0;5228
1618;27.04.17;Existing Contract;Supplementary dental insurance;5,22;0;2121
1619;13.03.17;Existing Contract;Statutory health insurance;;0;2564
1620;08.02.17;Existing Contract;Statutory health insurance;;0;1365
1621;08.07.17;Existing Contract;Household contents insurance;20,07;0;4131
1622;22.06.17;Existing Contract;Occupational disability insurance;0;0;4526
1623;19.04.17;Existing Contract;Personal liability insurance;10,97;0;2594
1624;31.03.17;New Contract;Personal liability insurance;13,67;0;3796
1625;08.11.17;Existing Contract;Personal liability insurance;14,75;0;4058
1626;23.04.17;Existing Contract;Statutory health insurance;;0;3124
1627;05.01.17;Existing Contract;Statutory health insurance;;0;2625
1628;18.09.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;0;0;4053
1629;20.12.17;Existing Contract;Motor vehicle liability insurance;;0;1816
1630;14.06.17;Existing Contract;Supplementary hospitalisation insurance, supplementary dental insurance & daily hospital allowance insurance;11,41;0;2220
1631;19.06.17;Existing Contract;Legal protection insurance;;0;3454
1632;21.04.17;Existing Contract;Travel luggage insurance;4,84;0;3923
1633;09.06.17;Existing Contract;Hunting liability insurance;13,66;0;1174
1634;27.03.17;Existing Contract;Other insurance;;0;2283
1635;13.07.17;Existing Contract;Personal liability insurance, household contents insurance & legal protection insurance;92,9;0;4682
1636;21.03.17;Existing Contract;Supplementary dental insurance;;0;2470
1637;20.03.17;Existing Contract;Travel health insurance;0,35;0;4312
1638;16.03.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;84,72;0;101
1639;22.03.17;Existing Contract;Supplementary hospitalisation insurance, daily hospital allowance insurance & supplementary dental insurance;7,98;0;1764
1640;30.05.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;2659
1641;23.05.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance (with insurance cover certificate);;0;2435
1642;27.05.17;Existing Contract;Statutory health insurance;;0;5260
1643;03.04.17;Existing Contract;Personal liability insurance;0;0;4698
1644;07.03.17;Existing Contract;Legal protection insurance;68,79;0;3171
1645;10.02.17;Existing Contract;Personal liability insurance, household contents insurance & pet owner liability insurance;0;0;3304
1646;05.07.17;Existing Contract;Homeowner’s building insurance;34,45;0;3025
1647;03.03.17;Existing Contract;Personal liability insurance;;0;4020
1648;29.06.17;Existing Contract;ADAC (automobile association) Plus membership;;0;1861
1649;13.06.17;Existing Contract;Supplementary dental insurance, supplementary outpatient health insurance, daily hospital allowance insurance & compulsory long-term nursing care insurance;10,32;0;5222
1650;08.02.17;Existing Contract;Motorcycle insurance;0;0;346
1651;24.03.17;Existing Contract;Supplementary dental insurance, supplementary outpatient health insurance, daily hospital allowance insurance & compulsory long-term nursing care insurance;3,44;0;1095
1652;14.06.17;Existing Contract;Occupational disability insurance;;0;3207
1653;07.02.17;Existing Contract;Statutory health insurance;;0;4419
1654;26.04.17;Existing Contract;Household contents insurance;14,09;0;4228
1655;17.05.17;Existing Contract;Household contents insurance;15,65;0;5239
1656;27.04.17;Existing Contract;Statutory health insurance;;0;4061
1657;27.06.17;New Contract;Supplementary dental insurance;2,82;188;751
1658;24.05.17;Existing Contract;Statutory health insurance;;0;4684
1659;01.11.17;New Contract;Occupational disability insurance;0;0;3055
1660;08.01.18;Existing Contract;Legal protection insurance;49,81;0;1824
1661;18.04.18;Existing Contract;Riester pension insurance scheme;;0;3582
1662;28.04.17;Existing Contract;Statutory health insurance;;0;351
1663;21.03.17;Existing Contract;Statutory health insurance;;0;1995
1664;28.04.17;Existing Contract;Pet owner liability insurance;;0;3456
1665;28.04.17;Existing Contract;Homeowner’s building insurance;45,64;0;4068
1666;21.08.17;Existing Contract;Direct insurance;;0;1537
1667;19.04.18;Existing Contract;Supplementary dental insurance;;0;4551
1668;12.07.17;Existing Contract;ADAC (automobile) membership;;0;3731
1669;09.06.17;Existing Contract;Personal liability insurance;0;0;1571
1670;05.12.17;Existing Contract;Legal protection insurance;5,11;0;1646
1671;06.03.17;Existing Contract;Personal liability insurance;;0;398
1672;23.01.17;Existing Contract;Personal liability insurance & business liability insurance;53,66;0;5345
1673;05.04.17;Existing Contract;Travel health insurance;0,08;0;413
1674;12.07.17;Existing Contract;ADAC (automobile) membership;;0;5118
1675;23.01.17;Existing Contract;Personal liability insurance;0;0;1665
1676;27.04.17;Existing Contract;Accident insurance;27,72;0;3836
1677;14.06.17;Existing Contract;Household contents insurance & natural disasters insurance;20,04;0;3856
1678;02.05.17;Existing Contract;Statutory health insurance;;0;699
1679;04.09.17;Existing Contract;Statutory health insurance;;0;292
1680;28.02.17;Existing Contract;Statutory health insurance;;0;4802
1681;06.06.17;Existing Contract;Term life insurance;;0;4526
1682;26.04.17;Existing Contract;Personal liability insurance;18,47;0;4227
1683;19.06.17;Existing Contract;ADAC (automobile) membership;0;0;1305
1684;20.02.17;Existing Contract;Legal protection insurance;0;0;4891
